names,indexes
Brent.11.Apr,19455
Brent.12.Apr,19467
Brent.13.Apr,20191
Brent.14.Apr,21463
Brent.15.Apr,408243
Brent.16.Apr,408255
Brent.17.Apr,408267
Brent.18.Apr,485739
Brent.19.Apr,485751
Brent.20.Apr,485763
Brent.21.Apr,485775
Brent.22.Apr,485787
Brent.23.Apr,495493
Brent.24.Apr,888697
Brent.25.Apr,1822163
Brent.10.Aug,19447
Brent.11.Aug,19459
Brent.12.Aug,19471
Brent.13.Aug,20765
Brent.14.Aug,22549
Brent.15.Aug,408247
Brent.16.Aug,408259
Brent.17.Aug,408271
Brent.18.Aug,485743
Brent.19.Aug,485755
Brent.20.Aug,485767
Brent.21.Aug,485779
Brent.22.Aug,487713
Brent.23.Aug,498511
Brent.24.Aug,910374
Brent.25.Aug,2077413
Brent.10.Dec,19451
Brent.11.Dec,19463
Brent.12.Dec,19823
Brent.14.Dec,22813
Brent.15.Dec,408251
Brent.16.Dec,408263
Brent.17.Dec,408274
Brent.18.Dec,485747
Brent.19.Dec,485759
Brent.20.Dec,485771
Brent.21.Dec,485783
Brent.22.Dec,491748
Brent.23.Dec,571772
Brent.24.Dec,928114
Brent.10.Feb,19441
Brent.11.Feb,19453
Brent.12.Feb,19465
Brent.13.Feb,20016
Brent.14.Feb,21150
Brent.15.Feb,408241
Brent.16.Feb,408253
Brent.17.Feb,408265
Brent.18.Feb,485737
Brent.19.Feb,485749
Brent.20.Feb,485761
Brent.21.Feb,485773
Brent.22.Feb,485785
Brent.23.Feb,493757
Brent.24.Feb,875178
Brent.25.Feb,1648772
Brent.10.Jan,19440
Brent.11.Jan,19452
Brent.12.Jan,19464
Brent.13.Jan,19911
Brent.14.Jan,21107
Brent.15.Jan,408240
Brent.16.Jan,408252
Brent.17.Jan,408264
Brent.18.Jan,485736
Brent.19.Jan,485748
Brent.20.Jan,485760
Brent.21.Jan,485772
Brent.22.Jan,485784
Brent.23.Jan,492507
Brent.24.Jan,578927
Brent.25.Jan,929927
Brent.10.Jul,19446
Brent.11.Jul,19458
Brent.12.Jul,19470
Brent.13.Jul,20560
Brent.14.Jul,22498
Brent.15.Jul,408246
Brent.16.Jul,408258
Brent.17.Jul,408270
Brent.18.Jul,485742
Brent.19.Jul,485754
Brent.20.Jul,485766
Brent.21.Jul,485778
Brent.22.Jul,486434
Brent.23.Jul,498510
Brent.24.Jul,906215
Brent.25.Jul,2030413
Brent.10.Jun,19445
Brent.11.Jun,19457
Brent.12.Jun,19469
Brent.13.Jun,20482
Brent.14.Jun,22442
Brent.15.Jun,408245
Brent.16.Jun,408257
Brent.17.Jun,408269
Brent.18.Jun,485741
Brent.19.Jun,485753
Brent.20.Jun,485765
Brent.21.Jun,485777
Brent.22.Jun,485789
Brent.23.Jun,498509
Brent.24.Jun,901195
Brent.25.Jun,1978580
Brent.10.Mar,19442
Brent.11.Mar,19454
Brent.12.Mar,19466
Brent.13.Mar,20103
Brent.14.Mar,21168
Brent.15.Mar,408242
Brent.16.Mar,408254
Brent.17.Mar,408266
Brent.18.Mar,485738
Brent.19.Mar,485750
Brent.20.Mar,485762
Brent.21.Mar,485774
Brent.22.Mar,485786
Brent.23.Mar,494904
Brent.24.Mar,883722
Brent.25.Mar,1755291
Brent.10.May,19444
Brent.11.May,19456
Brent.12.May,19468
Brent.13.May,20365
Brent.14.May,21920
Brent.15.May,408244
Brent.16.May,408256
Brent.17.May,408268
Brent.18.May,485740
Brent.19.May,485752
Brent.20.May,485764
Brent.21.May,485776
Brent.22.May,485788
Brent.23.May,498508
Brent.24.May,898094
Brent.25.May,1919511
Brent.10.Nov,19450
Brent.11.Nov,19462
Brent.12.Nov,19697
